"PC1" "PC2" "PC3" "PC4" "PC5" "PC6" "PC7" "PC8" "PC9" "PC10" "Cluster" "scenario"
"X.124.25.61.25.1" -947.320314984675 -115.261088921701 69.6427024990637 -74.8105968079006 34.0471859296749 -17.7207352702627 39.5743530017342 -3.67078303218711 2.0673780150844 0.901804340120659 3 "Control"
"X.123.25.57.25.1" -1034.62537119662 -246.731230835601 -1.03315409824462 -22.8381588733967 2.43908829575495 -18.6845879045884 46.2984674440139 23.7458716341251 -0.450924919341405 -4.67306188082297 3 "Control"
"X.74.25.50.25.1" -998.262560923203 -138.537226911108 -29.2481218183716 58.3490931853197 -0.614301952468786 -75.861191632401 18.9994069326421 18.3203254827054 -2.85319550148796 -1.69363026422419 3 "Control"
"X23.25.66.25.1" -1020.96603651188 -231.069057327902 -10.772767133695 3.21982116920193 2.18936099709475 -49.283465783188 37.5066147130857 20.7488138478978 -2.49762196092605 -2.30455569490213 3 "Control"
"X27.75.63.25.1" -869.881568961008 -155.637454118676 38.8326425381927 -18.6923834049787 7.77458606890701 -46.2833704354836 37.6874868627278 6.49276213174687 -1.51104442486469 -4.30350613123624 3 "Control"
"X36.75.57.25.1" -528.380153305281 746.970879589993 -92.7714188046283 -96.6914578071546 -96.9212902190723 -37.4267204571446 -33.4644918464179 21.3621354355894 -3.35375983705535 -9.64021730783768 1 "Control"
"X52.25.61.75.1" 426.434360000818 -87.6319450378355 104.542469758875 22.9503065586589 -56.335779600285 -33.6037199554883 -10.4152990093388 3.42354516937697 -14.7698363983086 -11.4495733925724 2 "Control"
"X61.75.58.25.1" 116.389547447445 -127.525641990007 111.184388618121 10.3785373478447 -61.6497112593855 -14.2049659402236 -10.8371471354094 7.82492005557497 -8.8054191444796 -15.9172039404565 2 "Control"
"X62.25.64.75.1" -905.152631675356 8.46527003269178 14.5055063348505 54.5499795539072 21.8751322480862 -102.561270810752 12.0013419456092 -0.426929136744193 -2.34313630213795 -1.52437004341818 3 "Control"
"X89.25.59.75.1" -983.807749278636 -149.843230134164 20.874912782578 -13.4133893988966 16.4967257942563 -50.4374241433194 42.0487159587996 12.0047628284994 -1.97230487563836 -1.01089541852088 3 "Control"
"X102.75.56.25.1" 21.3262163282865 81.5084949973637 123.231713619433 -116.042232210203 103.374718586477 -57.5927563098874 63.1022834278397 -13.9343728063374 -14.473493372131 2.86603092916949 2 "Control"
