"V1" "V2" "V3"
"-157.75/65.75/Control" -2513.48707093095 -75.5462019599264 138.362409866606
"-149.75/66.25/Control" -4057.35913986357 13.1473493388714 48.4127871949203
"-144.75/66.25/Control" -5187.11810476045 20.8928091954022 67.3235503474699
"-102.25/56.75/Control" -1847.08209088349 -333.650172156269 137.754058481317
"-82.25/49.25/Control" 2058.18305336615 -121.653045232804 228.996192499519
"-75.25/51.75/Control" 2595.60439886932 -130.162517308525 132.126253155308
"-57.25/48.75/Control" 6147.52071783568 363.582470671475 214.400991956108
"13.25/65.75/Control" 12903.6012769354 72.3532390862503 240.590203499336
"18.25/63.75/Control" 66.0073287330378 32.1873615675866 138.331687724838
"37.25/57.75/Control" -937.817548004522 171.054366508369 -0.871603858302911
"42.25/58.25/Control" -980.885781559247 177.0141598781 27.1082648953631
"43.25/62.25/Control" -1044.46192785374 135.797482236777 14.5525027116595
"57.25/58.25/Control" -406.193408862919 300.023940728194 58.9854474355586
"59.25/65.75/Control" 826.297258300706 307.796792431048 24.5314875264561
"64.25/59.25/Control" -2203.53633419561 119.595343573175 93.5630248135076
"78.75/60.25/Control" -1977.41616594813 179.738299532505 17.2836850673305
"79.75/65.25/Control" -524.213982801141 450.97818069415 109.605530608591
"135.75/51.25/Control" -807.640499224762 75.152779161481 20.2772430399721
"139.75/49.25/Control" -282.848739309812 147.801821073812 71.3212985279779
"-117.25/60.25/Control" -3309.66232863319 -10.6102908245727 69.7787547627643
"-114.75/58.75/Control" -3132.98175315075 -167.725595038914 101.426994597351
"-101.25/53.75/Control" -2776.24047130867 -409.217714214347 129.398589117017
"-91.75/51.75/Control" 631.894191522391 -272.945034385926 300.419406212558
"-63.25/52.75/Control" 2163.89871832772 121.90329323104 -17.9406100830339
"-56.75/50.25/Control" 4567.96309845067 93.8342987988462 228.292716981301
"16.75/61.75/Control" -196.395895887813 182.138783646254 -2.02820447022494
"30.25/64.25/Control" -464.519602811517 77.1361303487406 157.223285727627
"46.75/60.25/Control" -1027.65481070165 218.812831704536 -17.2614784736116
"52.75/61.25/Control" -858.785288398816 340.314021106376 26.6571514232004
"70.25/63.25/Control" -723.111817684216 283.164313618897 -51.8798609689136
"71.25/65.25/Control" -337.185733727347 181.129607644924 21.8752431096253
"76.75/64.75/Control" -187.300760280926 401.932218726678 74.4856344726384
"94.25/55.25/Control" -2266.59067000776 150.569976964173 114.506492060972
"138.25/53.25/Control" -2359.80641508849 178.889551384037 -12.249450238128
"-156.75/64.25/Control" -3569.6580691567 -119.638227791112 90.3388736468145
"-155.25/64.25/Control" -3617.04173332449 -113.600993960231 88.8474022688701
"-129.25/61.25/Control" -2173.66097119747 26.7920489815912 158.664631472951
"-124.75/60.75/Control" -3615.52541315803 -28.5137120863281 67.071799808802
"-116.25/60.75/Control" -3367.93350969552 -34.9002562565289 84.8008320430069
"-108.75/53.75/Control" -3246.07941233929 -122.532758039251 23.7598762759723
"-88.25/50.75/Control" 353.341972744211 -329.088505747815 216.997784438884
"15.25/62.75/Control" -1207.07704512827 137.149886876826 36.7921265539887
"27.75/62.25/Control" -804.944438858023 46.2826065151441 129.302429652568
"28.25/62.75/Control" 52.8791132747946 -4.17047416421601 169.394289127098
"42.25/57.75/Control" -782.026148516559 215.319954323325 19.333549331576
"50.75/63.75/Control" -939.46405695435 189.705965184141 102.151296429696
"79.75/59.75/Control" -2324.1621823108 152.087008556878 13.1057415865563
"84.25/61.25/Control" -894.457963461937 216.891305394222 27.5156732122288
"101.75/53.25/Control" -2508.44663712773 141.422934315532 69.0059875790553
"138.25/51.25/Control" -1055.21072871465 73.6985036384245 36.6251447470827
"138.75/50.75/Control" -1097.87932729898 83.8421578216348 75.9458112824667
"139.25/49.25/Control" -260.9465826146 251.865032359597 25.0973295441304
"-156.75/61.25/Control" -1608.65349845753 -52.8498729576659 81.8549710717296
"-126.75/57.25/Control" -2842.93157403226 -42.3111487419897 178.793479886296
"-126.25/61.25/Control" -2242.02298104658 5.10595489801619 137.696771902535
"-120.75/62.25/Control" -3596.30451858147 39.9018760598475 11.5354782362003
"-115.25/59.75/Control" -3160.77181388493 -129.214156710097 99.0269711390039
"-84.75/53.75/Control" -557.34435541961 -88.2474498058672 177.110897959462
"-76.75/55.75/Control" 272.984915605913 6.25108120013533 147.35985602624
"-56.75/51.75/Control" 3528.16385393927 11.2086946428976 196.446815599938
"33.75/65.75/Control" -1581.98664555562 0.344586935476365 89.1819149995532
"34.25/60.25/Control" 618.040573018444 134.117292129909 105.955067278522
"36.75/57.75/Control" -1043.43243769001 193.897416681584 -18.5153697424142
"42.75/57.75/Control" -832.388488939742 208.54418398136 13.0301776090743
"54.25/60.25/Control" -231.783670112257 409.176206534927 -1.64018902619913
"78.75/64.25/Control" -1135.3421759692 368.055641268673 72.2893612875825
"85.75/62.25/Control" -923.106144086015 201.762985309132 51.5449676399052
"87.75/59.75/Control" -1741.73002342966 102.824501527481 51.0679487107605
"99.25/55.25/Control" -3333.2101860606 97.529206550405 47.2110040395179
