"V1" "V2" "V3" "V4" "V5" "V6"
"-108.25/58.25/Control" -2307.09669588307 264.861465559745 160.590864267773 -12.6277002886077 8.2616613654434 11.6599403322367
"-106.25/54.25/Control" -2661.84354939557 166.618098130985 -54.340129336355 -33.7258835154596 -0.574856238849743 -19.2801723981742
"-101.25/54.75/Control" -2696.31203092215 369.825666527008 105.017172521033 6.23947288297444 7.14730561402433 10.8643049691645
"-97.25/54.25/Control" -2286.47026196002 71.4417827683181 112.220158581495 8.48055957070462 -9.55206023513057 0.649057003220281
"-67.75/50.75/Control" 5568.47052446033 -201.819139923761 110.866223077366 -51.8242056626879 -55.2091732785757 32.4643177547823
"-60.25/51.75/Control" 5534.21667602026 -376.413904616531 -56.1517430408185 -50.8359889633756 7.41350316655397 -4.28090433994908
"32.75/65.75/Control" -1141.81954628493 -33.9586907392136 117.382508192259 -35.2099273178478 -1.12970290106522 24.3216996180614
"49.75/57.75/Control" -424.34963005194 -181.432638774329 51.930546688864 -43.705276801387 14.6529305410543 -12.6799108054374
"55.75/65.25/Control" -312.636648610717 -171.527237820549 31.055821967521 -27.7732545795045 -11.3532967563166 -10.3276155708124
"65.75/61.75/Control" -862.457578738928 -298.697614723229 -64.5452685912337 -87.6868537594714 7.79788051842615 -12.2661327437443
"77.25/59.25/Control" -1484.72495461922 -107.453574593639 -19.3385126608081 -29.1199286173617 10.0962063168623 18.4469766300388
"132.75/49.75/Control" 589.978453987539 -51.7773271049002 69.2616498723179 27.4405886522196 24.6596741848139 8.55693650544568
"-152.75/65.75/Control" -2713.50760828977 86.2366592680238 73.4089503892683 -20.2939534121851 -2.50512863445751 1.99926383415762
"-132.75/59.75/Control" -3581.31430443946 -77.2226998156703 56.3588694510496 -5.10638843388852 2.06497902760486 6.83317388109675
"-107.25/58.75/Control" -2855.56672544031 140.253061510683 114.127028647639 -18.1510881287927 9.20037848243006 5.27427118709205
"-105.75/57.75/Control" -1913.02342941257 455.382986338416 143.218431632893 -9.10863557569761 2.67373454717121 23.6937223492455
"-77.75/51.25/Control" 1069.03791909643 39.789510922905 140.542612880816 -33.1986656163492 -2.88800919879403 3.11849470463516
"-69.75/51.25/Control" 2369.68839058449 -21.108695403927 103.808116624459 -13.2663987735946 -18.0350554740115 3.03777472140676
"-62.75/52.25/Control" 2326.86495673988 -145.150288755055 -51.01113901661 -16.2138909690257 -6.69399689138131 -3.99867988419084
"17.25/64.25/Control" -662.067343503504 17.5683747195961 103.783766584501 -7.66267165047317 17.4203306989466 27.258880349728
"24.75/64.25/Control" -1081.4156873512 104.206982654154 174.1562383731 -5.51358089327695 4.7439718381892 42.4087825717155
"35.25/59.25/Control" 37.3011732443758 -156.670393184837 57.7718127610639 -54.1435697753963 28.5122784961836 -4.40853936494511
"37.25/60.75/Control" 177.998863770979 -114.044842457689 84.8616056138859 -48.8739962289224 27.6341577946729 27.9719371509373
"37.25/63.25/Control" -25.2088267618633 -30.3225831322192 70.1185960668629 -40.9176223086126 -2.79183474672874 20.5101229685383
"43.75/59.75/Control" -707.911175687121 -180.483321230031 9.08431663451664 -55.4713401187514 15.8268904121926 0.203255584903725
"45.75/62.75/Control" -1008.68061282407 -132.327381266574 55.4825742451103 -36.3345907295565 -0.906154888685 -5.5608371153749
"61.75/64.25/Control" -1004.7939532818 -244.281058871435 -43.9989626203602 -36.3411574677417 -6.77947599999947 1.22865275923542
"80.75/56.75/Control" -2309.31937856848 -137.576360033868 -49.3608545957359 3.926711049795 3.24864213864012 -5.68519810842629
