"V1" "V2" "V3" "V4" "V5" "V6"
"-155.75/61.25/Control" -41.6233656437665 0.829457873120531 -1.78380775415884 -0.185261364525111 0.156274755038012 0.230259895324479
"-97.75/54.25/Control" -24.5310199882385 -2.23328526073657 -2.46868597471633 -0.4157519593239 0.375560439676318 0.516210820200451
"-68.25/50.25/Control" -21.0938695763957 -2.49681138354046 -2.21766937310437 0.318830029155018 0.0816532357962803 0.196102660781167
"-68.25/51.75/Control" -38.4860140747662 -1.36427344549525 -1.47286262567032 0.368865637081281 0.205095768525162 0.249046947356592
"-62.75/51.25/Control" -37.0403573933435 -1.35065552672499 -1.76477264011164 0.177848625792753 0.023053003118948 0.154638267013548
"35.25/67.25/Control" -19.4721137915152 -1.06484805594233 -4.1131228616938 0.396737424795948 0.772865819658949 -1.00011495835054
"60.25/57.25/Control" 5.23965233876047 -5.92226757022153 -3.58586619515304 0.840743337079761 -0.171368326698316 0.240430362105002
"64.25/58.25/Control" -2.45872183986318 -5.36950511168097 -3.03516501480106 0.972558872911308 -0.264660152351257 0.318743529752155
"66.25/60.25/Control" -19.6192288552132 -4.33321586340904 -2.19788156936412 1.09499104642151 -0.2875008122263 0.253725577240069
"67.25/57.75/Control" -2.84997820523785 -5.21275912082916 -2.90709112478833 0.74367268378161 -0.423594237721821 0.311783224993738
"89.75/60.75/Control" -43.3927985802316 -1.38710209718951 -1.02710528561382 0.917853054977478 -0.991488222464522 0.113802275508467
"-155.25/64.25/Control" -66.3363812617956 2.90878603256677 -1.82944867885447 -0.352732207322413 0.436753741182287 0.26637600757965
"-151.25/65.25/Control" -65.0968961465192 2.56426720108559 -1.92855717600673 -0.377009623064149 0.339395351218504 0.157806545764641
"-109.25/55.25/Control" -16.0462222470189 -3.16291824949233 -2.11753486855585 -0.866250346236352 0.14403289753928 0.295804483344318
"-84.75/51.75/Control" -27.4131218343243 -2.34533368456092 -2.71078255388651 0.192395907805382 0.259215572357079 0.375777717083536
"-83.75/51.25/Control" -24.2831617875748 -2.5952626952849 -2.86380625777577 0.177954280283823 0.213251811215661 0.357922559944914
"-61.25/52.25/Control" -36.2570324611308 -1.40013701494251 -1.37759836368717 0.162694835401969 0.0201178441778525 0.178439152525182
"21.75/67.25/Control" -26.8806054062693 -0.166322343981846 -3.48778556332546 -0.158121309304921 0.357838227334664 -1.01047940199538
"34.75/63.25/Control" 1.52852404983825 -2.55558042913972 -4.42643669463781 0.42000543195312 0.457070046356208 -0.772007771974169
"49.75/65.25/Control" -38.2498681894911 -1.72281673951244 -2.46129728335256 1.58337063375307 0.580158465944192 -0.572370180026019
"50.25/57.75/Control" 16.1155062977695 -5.96174848603028 -4.51394792802602 0.962938654545248 0.148876969286278 -0.0642149668854607
"54.25/58.75/Control" 3.38143760346449 -5.40046143939705 -3.84286262974856 1.1166762120916 0.118637990143501 -0.0155695474492254
"66.75/59.75/Control" -14.7036772767267 -4.45675990526338 -2.25633660200282 1.14104660323956 -0.155928157498982 0.140308687535181
"69.75/63.75/Control" -54.5531221875997 -1.67544304531554 -0.696242007306468 1.52389521112191 -0.227528944808117 -0.0447302132675638
"78.25/59.75/Control" -30.1715218962301 -3.3091928787655 -1.34374539467857 1.11349448787263 -0.625079992616385 0.137006539153643
"108.75/49.25/Control" -39.8493966719193 -1.11888603752996 -1.86272475184751 0.303204800297734 -0.845505698528328 0.159043280815513
"142.25/48.25/Control" -0.48062665596364 -5.21797052571578 -3.63979320786578 1.15545404907128 -0.527963951849158 0.228457142609654
"-88.25/51.25/Control" -26.2718269049247 -1.5498317748246 -2.60109252520375 0.119361975627969 0.523970393176001 0.428642145167788
"-86.75/51.25/Control" -24.2822621051724 -1.9932802058828 -2.74005275319612 0.176973162754361 0.514891642918133 0.438048829938555
"-85.75/50.25/Control" -17.2541843246511 -2.24455330855466 -3.05708875619207 0.181561784487686 0.48868202665767 0.408738091893802
"-84.75/53.25/Control" -41.1445167354642 -1.53109077571804 -2.22791738822855 0.45218975237786 0.429451691068553 0.415446590352881
"-77.75/48.25/Control" -2.51104905573694 -3.003813239301 -3.33810013653388 0.336994227043629 0.573601423153883 0.311046637409171
"-74.75/49.75/Control" -17.0131631795586 -2.37148605502034 -2.67158120433837 0.484945694917859 0.477231431004605 0.293620677470346
"-66.25/47.25/Control" 15.4936831384208 -4.56568770398282 -3.83878436765082 0.217157308373393 0.0728117712430143 -0.00667100571190182
"-65.25/54.25/Control" -65.3241657165837 0.420917641189066 -0.146805695348046 0.266577662284023 0.195851851996462 0.344212447393397
"13.75/62.75/Control" -19.9504494907321 -1.09822464809388 -2.50394306650447 -0.806385952728438 -0.0127271670878759 -0.577796799077391
"14.25/63.75/Control" 1.30912188995428 -2.67533792840568 -3.13986429480209 -0.617796522654215 0.0520131014216469 -0.625305001754707
