"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"-124.25/61.25/Control" -4382.73832603442 -58.3705878125009 -48.2120072890226 -2.60929098594232 46.0471880545493 17.1046405857273 -8.49444907051475 7.75298893406097
"-123.25/57.25/Control" -1288.87395712722 -22.3255032952372 -131.894954902992 35.2306650130868 27.3593868979448 -8.5532794803551 5.48552366291934 -0.59303091594587
"-74.25/50.25/Control" 3276.31423941457 15.0950156042727 -122.92788924515 -13.9497413752602 32.2881287147177 13.3464420129033 -5.51867681435838 -0.904718246741214
"23.25/66.25/Control" -866.94386238702 -84.1679820304923 -155.485611373432 30.294659311135 -10.7368095505255 29.3836106497951 9.2464657030697 12.2539927660891
"27.75/63.25/Control" -75.7326965209016 -16.0035288270819 -191.244315859405 1.35130180453358 -37.8293527658907 43.4055122440458 16.0446618539807 7.39757987641133
"36.75/57.25/Control" -446.137282050717 205.027273292418 16.1194532294395 -68.7259502598685 -21.8328524601616 -54.8937813085245 4.74468684682218 -2.28723452385401
"52.25/61.75/Control" -1068.59353492599 295.781331307485 -36.5032665242568 -62.3811486884446 0.333470707354129 -17.9311225626104 -3.24264775931933 9.39604186328008
"61.75/58.25/Control" -1509.41794669006 69.762221949687 -101.665528756994 -26.9595051829791 -24.3711968755086 38.6347643733504 0.285288487626418 2.417381274575
"62.25/64.75/Control" -685.292888935686 319.479661376207 28.5835107232626 -62.1546844546771 45.0524323872323 17.6139964383939 -9.57928287782475 10.4735134169336
"89.25/59.75/Control" -1189.77207090395 96.5784562244579 -32.1349124982125 4.77377691256683 22.36761092543 21.1391998307318 2.08657548864366 0.461200203335678
"102.75/56.25/Control" -2882.71524800318 -80.8318696292931 -83.7957983752921 9.5177604217933 24.8115054661385 16.3929753684254 0.979913393686725 7.55627806801789
"140.25/50.75/Control" 274.522409564972 -33.1664866616297 -129.687990489073 -73.5865465000589 24.7159931072442 14.9215190069666 -20.9053266571505 17.0728682168414
"-154.25/63.75/Control" -3179.15604030921 -13.8528915758616 -53.3336097553578 -18.6263209636223 46.8406111952564 7.29469606717739 6.04823200360357 1.42999477292159
"-144.75/63.75/Control" -2827.43149832206 12.4199019196976 -108.296089089516 -14.049810667246 30.018986844167 44.3180991667244 5.08771968151398 2.99142856283535
"-129.75/60.25/Control" -2660.35754325225 58.7383321422649 -82.1823991908565 6.2716094818908 25.8264220071269 13.5527724360251 -1.35298252511708 -0.225698217161482
"-127.25/60.25/Control" -2598.01470375446 -10.5391777538896 -87.8081331500103 24.2688574667128 30.6662487307041 14.4971369903455 -8.74760607509837 2.31865592790978
"-118.25/61.25/Control" -4353.2704649661 31.0184682274211 15.5484351222483 -24.3200935714723 25.5625336214417 15.1141783301975 -1.84141962706922 7.36443178328977
"-116.75/59.75/Control" -3368.45575016973 -22.3916556731487 -21.7751813294139 -30.3718075840349 19.7626781402282 10.8675286598767 -2.32231543187139 10.8057730719345
"-109.25/54.75/Control" -3151.20466230269 -73.7695957257716 -6.24569320537021 -25.1955287580604 -1.42425226795037 -4.0478345734384 4.04502839162692 -2.90981991757799
"-101.25/54.75/Control" -2816.83742745401 -350.391084335726 -105.919088107204 8.36408614491966 8.19833590520935 5.65928713909372 0.170844350004173 7.44880002951453
"-72.75/52.75/Control" 2070.19089063201 -160.727309540904 -161.193502823584 13.4167170284279 57.5943107603208 30.5931086665581 5.35065719115221 8.23766738378746
"27.75/65.25/Control" -564.859662658614 77.6311491393384 -166.022077956259 -0.040362363460951 -17.9580288707812 53.0350371634058 -0.326882628847717 11.4271204475398
"28.25/65.25/Control" -23.0662557166827 59.1742987789317 -186.655682437733 -3.66629875206109 -15.0333085698253 56.5781667010263 1.13491440175408 13.2940762322288
"33.25/63.25/Control" -1162.51912404226 4.81485509976689 -172.055315252778 -34.3438545958557 -22.5809046252726 22.6283043786174 6.2965176390269 11.3376800173441
"35.25/57.75/Control" -273.616845215821 138.241000362881 -48.506092703797 -60.2289814371184 -26.0709610428818 -31.7605092392644 9.86566168333042 0.0260820183610103
"44.75/65.75/Control" -1020.76058028976 43.7969069608112 -93.2646774184717 -27.5778556106143 9.21060935063413 12.3290712795012 -6.39589360440952 10.0571542787092
"48.25/64.25/Control" -1505.79594678319 93.7962279740506 -97.8487878956851 -37.9129696213831 8.8635288718822 6.40412344280811 -1.48291471199227 12.130021778548
"60.25/59.25/Control" -2033.57112845155 250.901903937007 -15.3319802310686 -69.6558075877329 -8.49196154862712 -4.10042626042264 -3.67398380459079 2.98139723117149
"61.25/64.25/Control" -1041.63509963621 265.919378327934 13.0383898215554 -47.7731144146117 36.5189614056903 17.9109882908675 -4.51553377733699 9.29736749266004
"64.75/61.25/Control" -2037.20907795024 221.684684283008 17.0089213863603 -84.0683700953597 11.9102799952257 5.68066966648967 2.7901535771949 1.97299600779025
"75.25/58.25/Control" -1387.13279566923 14.7882426497927 -24.7025426814095 -21.8135772455683 -0.961537254808186 43.7492559508013 12.3670837431582 6.93465627196817
"79.75/63.75/Control" -1079.03149859193 345.99515340472 -63.4960857503772 -75.8370775705295 44.1214285889988 16.9743026529149 12.0935560959517 0.760248107448181
"80.75/64.25/Control" -877.830720272951 404.765539690754 -47.1717155355207 -86.1766877506014 47.7889190853589 18.2149677540853 7.63095210431449 1.97408197946092
