"V1" "V2" "V3" "V4" "V5" "V6"
"-124.25/61.25/Control" 127.067336803396 -5.23719166696822 -0.868897460966736 0.00921081992302268 0.167780486322998 -0.0236050109179701
"-123.25/57.25/Control" 127.41356913475 -5.53753095266486 -1.01829423484825 0.0405020050522244 0.105470257570203 0.000824950198060867
"-74.25/50.25/Control" 127.572121387176 -5.59765657011403 -1.17072350438718 0.135448714091837 0.165290066213268 -0.0568685178066709
"23.25/66.25/Control" 127.378229432709 -5.39340943159419 -1.05001999113126 0.0569481215544373 0.0732643814379206 0.0561721351528599
"27.75/63.25/Control" 98.8809777457086 -0.295463317015375 1.78650334689561 -2.07297768866913 -0.513906068525915 0.784508951942641
"36.75/57.25/Control" 84.8600185584907 -16.1250583824268 -8.28696419031871 2.05472290477356 -3.19058569106576 -1.18268408204067
"52.25/61.75/Control" 75.2265863346281 -5.56858704056889 12.9981465978077 4.56206486477911 -2.58964787073238 0.7930103526152
"61.75/58.25/Control" 16.3271906100281 -13.1761642932167 22.6019747095262 7.19123084370364 0.34320429957743 -0.283745177633755
"62.25/64.75/Control" 127.170051427263 -5.48718723638406 -1.14363619252263 0.132527344187 0.183955075410481 -0.0718929107932754
"89.25/59.75/Control" 127.102763876815 -5.59001834819465 -0.880142369408739 0.246825054107252 0.199535352375795 -0.0406119334853585
"102.75/56.25/Control" 70.5379934560859 -14.0303896563005 -2.22118393217985 4.14261441390374 1.28327176617664 -5.0427041709935
"140.25/50.75/Control" 126.947290974712 -5.50846912213212 -0.804553727015417 -0.0986097725126018 0.201714474833527 -0.0442473493866539
"-154.25/63.75/Control" 127.986572789914 -5.54703983998834 -1.21332544337409 0.117831505014965 0.185700852417622 -0.0498299604738147
"-144.75/63.75/Control" 127.333558486732 -5.43594382569202 -1.0565172802286 0.0623604515284886 0.179602067620169 -0.0841879759983693
"-129.75/60.25/Control" 121.98484829774 -6.4084172048398 -0.656126818847318 0.102099993824807 -0.00695256275713905 -0.0555322299518319
"-127.25/60.25/Control" 123.236425869522 -5.71701854957476 -0.359826838274133 0.203731841821852 -0.142528745521411 -0.00525006102888401
"-118.25/61.25/Control" 29.3879693138983 -8.71472919711575 6.57781918426203 1.98467836783026 -1.20973472250759 0.523416571206282
"-116.75/59.75/Control" -5.42606518067221 -12.3758594816897 -1.56096468768633 6.98408503032682 -0.32978751180662 -1.32830412518511
"-109.25/54.75/Control" -116.782456938991 18.2425315961746 -12.9450120972389 -1.48323359846798 -3.75563757400303 -2.90133323931406
"-101.25/54.75/Control" 69.3820857475728 -9.60346871952716 -1.16171840066434 1.88612325680386 0.58257899050778 -1.03830870117891
"-72.75/52.75/Control" 128.074161312009 -5.46064871482769 -1.22977974367346 0.0997827000511129 0.193221411897263 -0.0371110634065273
"27.75/65.25/Control" 101.249713458892 -5.18628410407359 4.24496848832589 -1.43943895044558 -0.330760918953595 1.13423965677132
"28.25/65.25/Control" 112.979573534426 -5.88724699219982 1.5665228595876 -1.04496916952519 -0.176149917759729 0.312050984537163
"33.25/63.25/Control" 127.852295308207 -5.72156218077949 -1.12120320910534 0.164471145489903 0.126327536481992 -0.0828261095157011
"35.25/57.75/Control" 84.9784984728076 -8.32744162123972 8.4770326302905 -7.47161184337302 -0.219211630217111 0.695504021077951
"44.75/65.75/Control" 127.985921042938 -5.52945086127821 -1.11919794724202 0.136273235972113 0.194690502692807 -0.0254579749334236
"48.25/64.25/Control" 114.573413489063 -3.96359301738215 0.267614616070088 -0.00800740320058914 -0.362316464460738 0.141953567200774
"60.25/59.25/Control" 110.727059840515 -5.43166939310323 -2.9822843843543 1.86116378803635 0.375717538864104 -0.0640334431447625
"61.25/64.25/Control" 127.882711796614 -5.54535352872589 -1.1044538560877 0.206403550716107 0.211151826516812 -0.0531656300968829
"64.75/61.25/Control" 44.4578120265033 -10.9293902142933 13.1962740917159 -3.9929546946436 -0.974157532815121 1.66067439032089
"75.25/58.25/Control" 61.5418952032324 10.1531398562469 1.676681854646 0.82986221184471 1.73743399443916 0.478276291263187
"79.75/63.75/Control" 126.370557317181 -5.52397617751292 -1.06317481236092 0.585648087530094 0.121231349941549 -0.101979522960919
