"V1" "V2" "V3" "V4" "V5" "V6"
"-124.25/61.25/Control" 65.5480707656046 -9.91061997602769 -6.22286431076597 1.79008989390852 0.446454052617005 -0.350405274297203
"-123.25/57.25/Control" 10.7420157359871 6.24809940654684 -7.96881490387225 1.18586020564128 -2.77587807501744 -0.0465703643361743
"-74.25/50.25/Control" 144.934056227622 -0.88990750289686 -7.68095635548569 -0.300491837088279 -0.650048086259336 -0.766186149145937
"23.25/66.25/Control" 141.403036721292 -17.553847510618 -8.24415092727435 -2.36728923441014 -1.23211060009177 0.510499880667333
"27.75/63.25/Control" 104.278410257542 -10.84687229622 -7.05016518726705 -0.741299998755663 -1.24655253131749 0.758192300014369
"36.75/57.25/Control" -271.616760103919 25.4441369663065 -1.16235864292917 2.32686787567188 -0.648077202337346 -0.512204819873962
"52.25/61.75/Control" 44.7600380848322 -14.0168067598285 -1.16807588424342 -5.19430321799215 1.15436382013488 1.10893401034845
"61.75/58.25/Control" 14.3348578379543 9.34270698083959 6.40520488736586 4.518027848496 0.499860898243304 0.639466169117054
"62.25/64.75/Control" 27.1043829516692 5.86575454313685 -9.08266955971626 -3.94517321736737 3.18840065383801 2.47422065902941
"89.25/59.75/Control" 144.149936921758 -4.48242801156356 -1.12178077410767 0.358079872457345 -0.321364795857778 0.206493947854483
"102.75/56.25/Control" -34.1539810716948 -1.31929925393955 -9.10042959951483 5.34138155499705 2.57342934873157 2.04869465862543
"140.25/50.75/Control" 63.2340885942128 -5.4334557142322 -15.394848743247 -0.164314216224227 -0.507100818293749 -0.756581038941703
"-154.25/63.75/Control" 203.923391990655 -13.8896814561487 -1.31616267156813 -3.19711100937782 0.42226687458595 -0.629756003906779
"-144.75/63.75/Control" 72.2900568109481 -2.08140864132664 -3.1037915514576 -1.33837897116391 0.485921981599657 -0.65771647627459
"-129.75/60.25/Control" 37.1865800309371 7.57670003453986 2.78134487255112 6.2051838069525 0.813288956537822 0.602814024546016
"-127.25/60.25/Control" 15.9627883879739 -3.1623109302077 2.03851720883149 -0.419133812124028 0.337544069784313 0.668033975836993
"-118.25/61.25/Control" 46.5619227464953 9.20102225557132 2.41926090391076 1.87963591765035 -0.686280853295969 1.16724895063447
"-116.75/59.75/Control" 17.1464884047839 22.8450206583871 0.346214823483952 1.0008458825202 0.897453846442088 0.463128814262394
"-109.25/54.75/Control" -89.3607074375613 35.457239885071 15.267367173935 -0.226458234254261 1.44079494358702 0.140549145353592
"-101.25/54.75/Control" 86.4369110095079 -9.44965904340146 -1.50940783866209 0.604457478686096 -0.635285136726501 0.817945179829502
"-72.75/52.75/Control" 229.22504993495 -12.3549641752961 -1.90023779649084 -1.57727325317413 -1.00264673399633 0.154745039823539
"27.75/65.25/Control" 64.4289503235194 -7.39924144753514 -10.1515493977694 -0.785168757090957 0.146126755792321 -1.32368616269918
"28.25/65.25/Control" 46.2669446776957 -13.8441187927241 -6.68514164075481 -0.578745711044616 1.54433782453797 -1.48811428494151
"33.25/63.25/Control" 156.533312494444 -7.08222445247167 -8.07457442634112 0.126752401858107 -2.19678809043912 -0.312455499551872
"35.25/57.75/Control" -256.089241944897 39.5680374972542 -6.32153202528686 -1.12151861925892 -0.743260967543531 0.0301243529131919
"44.75/65.75/Control" 185.049765831492 -15.7733427263083 -2.78583337324223 -2.9419479628008 -1.83139298588625 0.219809570246879
"48.25/64.25/Control" 99.9134068015029 -1.79292832343382 -4.20600343247058 -8.20350563177492 1.31203133621893 0.124511604449828
"60.25/59.25/Control" 119.709283381314 15.6099293249665 2.72046477761093 2.81940106307881 0.595362352216267 -0.602830881044711
"61.25/64.25/Control" 179.690136210329 -7.96198524888973 -0.978171393021461 0.902662855160121 -0.888534387570619 0.681174452606561
"64.75/61.25/Control" 8.83495714327144 -3.17954999857196 -9.37847672399937 7.08081918090296 -1.12924301811726 -0.381411736383385
"75.25/58.25/Control" 59.9005636542394 1.5089475594428 -6.17984638954588 1.70226096702254 -0.068562684433676 0.0768992072696434
"79.75/63.75/Control" 4.65963567905962 12.1359126292512 9.52360026908586 7.46949153851764 -1.48038603560191 4.16034795416704
"80.75/64.25/Control" -10.6677352282751 9.34854006678198 8.90110958466613 5.62444198949186 -1.43726579499025 3.96632362179635
"140.25/49.75/Control" 99.8242326531287 -12.2038383647393 -13.9286620352056 3.3489589471959 -0.137519633395863 0.0167232377946199
"143.25/51.75/Control" 115.740631530742 0.335378298833866 -8.8647122437529 4.25082677465205 -0.0117657426875269 -0.472646228724993
"145.75/59.75/Control" 106.54933684148 20.8373345615362 15.5755660572257 2.9483146015365 -3.24132416131034 -1.32176596553273
"-125.25/57.25/Control" 22.5410473103226 4.67816496563591 -3.11474948118578 3.00371296045269 1.66142907504396 0.770866546402131
"-123.25/59.25/Control" 10.3386373316147 22.1448688599536 10.42192882961 2.40271306416682 -1.11470219426027 1.70887844845244
"-98.75/55.75/Control" 76.9843136259233 9.70837070275902 -12.7203498452965 1.92043630142683 -1.57303656640225 0.312015586984313
"-96.75/52.25/Control" -7.57481689590198 8.86048966016402 2.63784944226887 2.58130784485688 -0.858358800595278 -0.63348505165972
"-93.25/54.25/Control" 86.1088932579488 20.2747388733589 10.6854461191245 -0.10557241688959 -0.0608763659179694 0.313345854254907
"-89.25/54.25/Control" 56.6287814105958 0.646081497130332 -7.7687434071566 -1.69834608009787 -1.60889208014945 0.596422330009472
"-84.25/49.75/Control" 89.8919522810869 0.135352471220054 -11.9616961797666 -0.399283557781304 0.0890181589582443 -1.34640715872279
"-80.75/51.75/Control" 16.5585681820229 -8.92967269078499 -13.1026230661868 -0.161843881402799 -3.99786350393528 1.11565975421236
"-58.75/54.75/Control" 221.748720538246 -11.4402486975477 -3.87022864378338 -1.29298929320771 -0.929331975556974 0.686143909909171
