"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"-124.25/61.25/Control" 72.8338474103954 -2.14338477494564 0.73112588347753 -0.715745809496812 0.276866160079129 0.151018938582218 -0.260339040909876 0.054241250265814
"-123.25/57.25/Control" 35.5115671787383 0.659775358570103 1.67219770657852 -0.682360209472188 0.229294641286533 0.31351981711794 -0.209503246711131 0.0448264439040004
"-74.25/50.25/Control" 24.9239036885289 2.52605230353236 2.22443477162867 0.23738361480356 0.424109709917428 -0.297199391679137 -0.0750624993610416 0.00261394473832292
"23.25/66.25/Control" 7.57759569665177 1.66291478077518 4.19838784523803 -0.25252544976469 0.556276919203464 1.04405751004502 0.0431178968831604 -0.00237409136454201
"27.75/63.25/Control" -14.7011328384263 3.81007779705805 4.23143520523508 -0.0781984154287301 0.434462819216028 0.768373838805756 -0.0260992663814475 0.00246524407676277
"36.75/57.25/Control" -28.0023080976887 5.90716268707006 4.13107790564951 0.167768285476167 0.445239218467579 -0.098733119277441 -0.0510111826336517 -0.00328285339821038
"52.25/61.75/Control" 9.73270483558763 4.19234957286254 3.17541529817919 1.00291339943421 0.613455042482012 0.0259915159284204 -0.169743329960211 0.0118439148937474
"61.75/58.25/Control" 1.94569779211013 5.52250148888147 3.1505501341502 0.998855913601623 -0.0100907642684626 -0.240037257105281 -0.124393640032281 -0.0100885386492887
"62.25/64.75/Control" 57.0457750430957 1.38176005069987 0.962841122715744 1.50779354350565 0.191340321314309 0.00814707354113996 -0.072279248136479 0.023968436899779
"89.25/59.75/Control" 35.9806403258926 2.36280807409788 1.19125337424909 1.12875435842124 -0.950690064875744 -0.15657093349424 -0.0690284718406236 0.0381856904468189
"102.75/56.25/Control" 45.8161639039395 1.43924133095282 1.1601441401272 0.645424789233994 -1.11784707715163 -0.348114012584074 0.0352969089533796 0.00136154927109008
"140.25/50.75/Control" 35.706097289422 2.53299804610933 2.67015173640326 0.813571006507909 -0.473547481459002 -0.385174823699896 -0.000916231008692999 -0.0444165716016318
"-154.25/63.75/Control" 66.5566288360399 -3.08066616693119 1.60132957042669 -0.529556791267302 0.425636483796115 -0.212485419636434 -0.202777425322462 0.0588601250494301
"-144.75/63.75/Control" 61.287092592183 -2.34775585345266 1.32542950773925 -0.396050885817489 0.46560878721198 -0.022432016250002 -0.203348344432912 0.0718638914071286
"-129.75/60.25/Control" 46.5740823522925 -0.461598456347711 1.48492319926579 -0.714410285938948 0.37400242578217 0.231723411825939 -0.194844799360796 0.0610703799415443
"-127.25/60.25/Control" 49.6397392991502 -0.616246460108902 1.61814458195342 -0.800543672942042 0.347236972544363 0.262000970994401 -0.220559848590015 0.0670933706821232
"-118.25/61.25/Control" 51.5644229685096 -0.091563670000139 1.71414140959182 -0.743414999929936 0.175212188458749 0.0460958004101129 -0.238461000395136 0.0593568957220167
"-116.75/59.75/Control" 41.3527559794925 0.584899767154523 1.6537678420657 -0.791902556049818 0.109518155453041 0.0124405623395797 -0.223888956630794 0.0569195203683512
"-109.25/54.75/Control" 14.3024066471544 3.33192815260789 1.9394982587516 -0.933252568937886 0.102221774585849 -0.224393838901492 -0.214371374582993 0.0203131278016099
"-101.25/54.75/Control" 24.3748672201212 2.89465657611218 2.37215094935621 -0.564046213623073 0.258094083170672 -0.280891132744865 -0.113187943679971 0.0220152489820388
"-72.75/52.75/Control" 58.5728162853933 0.0474463663973041 1.02429473144022 0.35610491457229 0.418355826424961 -0.274580878688027 -0.00359478952898633 0.0153220482452684
"27.75/65.25/Control" 9.14566229992712 1.30280548169272 4.36848411451432 -0.0689124420430809 0.481531115403779 1.09801664397039 0.0413753787610351 0.00298254415721811
"28.25/65.25/Control" 11.137826915029 1.22954427894541 4.32008436767717 -0.0470533434840705 0.511978543400621 1.09417952133655 0.037480288629809 0.00310252987348063
"33.25/63.25/Control" 0.754966429703939 2.22633254113674 4.31987543392058 0.25975964766695 0.526678620245175 0.805305481188585 -0.0494355042526201 0.00897298118263441
"35.25/57.75/Control" -24.7636646346497 5.31040659133314 4.32294376033695 0.284803098422133 0.318306314862172 0.166130148718752 0.00645337717668935 0.00209053377978825
"44.75/65.75/Control" 23.9260205979968 2.069713810994 3.34670799800398 1.24664117937594 0.830522238105817 0.853941293771928 -0.0321995220176026 -0.00663434925422884
"48.25/64.25/Control" 25.9571628004325 2.42523014455604 3.058621287878 1.33939050934055 0.724209819027816 0.562969765064672 -0.0776239549245692 0.0168120703216718
"60.25/59.25/Control" 8.46132579842998 5.12710158745159 2.95317812268636 1.31531975819059 0.14463759954486 -0.116235163716672 -0.0461250184978323 0.00234058255344766
"61.25/64.25/Control" 50.2539971148532 1.8511716384767 1.29725516137655 1.62570963031836 0.43947271721601 0.207257159683042 0.000233324823601421 0.0287623254189359
