"V1" "V2" "V3" "V4" "V5" "V6"
"-124.25/61.25/Control" 113.706069173223 -7.80518775491408 -3.04961367306501 -0.553771873471589 -1.97829932730963 0.109186371388512
"-123.25/57.25/Control" 84.4674208160968 -1.69260095909607 -5.13761747279676 -0.943459062586981 -1.5692903297491 -0.0784444661268538
"-74.25/50.25/Control" 62.2099232783147 4.30919047670835 0.998449625912369 -3.1157440907588 -2.09377157210776 0.655487879707397
"23.25/66.25/Control" 10.1150678927752 13.4884218097678 -5.7014665963169 -4.43721752484863 -0.0243167122243627 0.465785255892199
"27.75/63.25/Control" -5.32204707502855 12.412293618315 -2.89313436338192 -3.353944433245 0.503194968185648 -0.941547805121237
"36.75/57.25/Control" -22.4492839710838 10.7615270525369 -7.03854284213866 -5.80402928088943 -4.30210349777213 -1.45387500556952
"52.25/61.75/Control" 79.2978810877604 -2.86018601374933 -9.19608348427558 -3.69249442828697 -7.44401179502208 -0.717232632527446
"61.75/58.25/Control" 65.9777267761805 3.21414156762856 -6.93156420170273 -5.44045317236311 -5.6190131120712 -0.919945006258095
"62.25/64.75/Control" 129.503457019967 -3.30244581772451 -7.86341198080011 0.0963982976906299 -1.21263320185169 0.0333180203728851
"89.25/59.75/Control" 153.807727243184 -3.32259620105303 -3.46489404898777 0.876613767617412 -1.75990765039232 -2.33059366783896
"102.75/56.25/Control" 145.511714014959 -5.50320609562401 1.28783255259084 2.08335141653643 -0.412531759185168 -2.08874568178022
"140.25/50.75/Control" 21.9738353719958 12.8635901699284 -1.88778552650176 -2.33992058628878 -1.70876174243719 -2.84301867452333
"-154.25/63.75/Control" 116.430085780246 -9.85417294147975 -3.35763574226568 -4.36049944382613 -3.32638930023784 -0.367603557401339
"-144.75/63.75/Control" 117.238262053823 -7.71357284140762 -2.31043023577273 -4.61957456337929 -1.96938753519248 0.00177956303733137
"-129.75/60.25/Control" 125.792525716545 -2.6985112233953 -3.37487428608381 -1.62883621065864 -0.408890204646408 0.457242776293916
"-127.25/60.25/Control" 124.316378529675 -6.63623652792688 -3.5607742049579 -1.22759695966555 -1.45376044244452 0.673697866055252
"-118.25/61.25/Control" 111.956205455584 -10.3325367548984 -3.48770424804839 -4.29624544327833 -2.70858641215327 0.328720935552058
"-116.75/59.75/Control" 124.859869447109 -9.78004878769323 -3.78679536422266 -2.33117857910778 -3.68239023677828 0.765587273930828
