"Lon" "Lat" "Scenario" "initial_recruitment_BNE" "initial_recruitment_IBS" "initial_recruitment_TeBS" "initial_recruitment_Tundra" "initial_recruitment_otherC" "recruitment_ten_years_BNE" "recruitment_ten_years_IBS" "recruitment_ten_years_TeBS" "recruitment_ten_years_Tundra" "recruitment_ten_years_otherC" "previous_state_BNE" "previous_state_IBS" "previous_state_TeBS" "previous_state_Tundra" "previous_state_otherC"
"1" -154.75 65.75 "Control" 17 0 0 11 0 279 1 0 184 2 3.3 0 0 0.02 0.2
"2" -153.75 66.25 "Control" 18 0 0 11 0 283 0 0 168 4 1.9 0 0 0.02 0.32
"3" -125.75 60.25 "Control" 66 0 0 30 6 431 0 0 184 13 3.21 0.02 0 0 2.69
"4" -124.25 58.75 "Control" 56 0 0 33 3 358 0 0 227 6 5.98 0 0 0 4.2
"5" -114.25 57.75 "Control" 23 2 0 28 3 113 2 0 123 3 0.12 3.02 0 0.54 1.25
"6" -89.25 56.25 "Control" 32 0 0 37 1 199 0 0 253 2 1.23 0 0 0.14 0.03
"7" -59.75 52.25 "Control" 5 0 0 17 0 18 0 0 116 0 0.01 0 0 0.12 0.01
"8" 36.75 62.75 "Control" 11 0 0 13 0 183 0 0 150 1 1.11 3.91 0 0.04 0.9
"9" 43.75 58.25 "Control" 20 2 0 22 0 175 2 0 175 0 8.83 0 0 0 0
"10" 74.75 57.25 "Control" 30 2 0 28 0 266 29 0 199 6 0.23 3.02 0 0.58 0.58
"11" 82.75 63.75 "Control" 27 0 0 29 1 186 1 0 214 18 0 0.01 0 0.26 0.01
"12" 101.25 56.75 "Control" 20 2 0 39 17 113 5 0 190 30 0 2.27 0 0 7.2
"13" 108.25 48.25 "Control" 39 22 0 77 15 179 22 0 210 17 1.04 2.58 0 0.06 2.06
"14" 148.75 59.75 "Control" 13 0 0 21 0 43 0 0 116 0 1.62 0 0 0.09 0.02
"15" -152.75 65.25 "Control" 33 0 0 14 0 408 1 0 197 4 0.67 0.03 0 0.31 0.24
"16" -150.75 66.75 "Control" 27 0 0 15 0 258 1 0 210 6 2.4 0 0 0 0.81
"17" -149.75 65.75 "Control" 30 0 0 22 0 238 3 0 174 5 6.12 0 0 0 0.93
"18" 26.75 62.25 "Control" 1 0 18 18 0 7 0 239 135 2 0.3 1.71 0.8 0.27 1.5
"19" 39.75 58.75 "Control" 32 2 0 21 0 184 6 0 150 0 4.7 0 0 0.01 0.59
"20" 41.25 64.75 "Control" 43 0 0 32 2 205 0 0 182 3 4.82 0 0 0.17 0.39
"21" 43.25 58.25 "Control" 27 1 0 24 0 165 4 0 143 1 0.25 0.42 0 0.78 0.37
"22" 55.75 65.25 "Control" 20 0 0 32 1 106 0 0 211 1 0.08 0 0 0.17 0.04
"23" 67.25 59.75 "Control" 55 4 0 31 4 232 4 0 131 4 3.84 0 0 0.11 0.41
"24" 68.25 59.75 "Control" 29 7 0 43 2 121 7 0 154 2 4.96 1.41 0 0.11 0
"25" 73.25 58.25 "Control" 36 20 0 48 3 140 22 0 172 3 0.28 1.49 0 0.62 0.66
"26" 76.75 62.25 "Control" 68 1 0 55 12 215 1 0 177 13 1.94 0 0 0.11 0.63
"27" 84.75 59.75 "Control" 32 18 0 80 3 124 26 0 238 5 0.89 0.07 0 0.17 0.32
"28" 96.75 57.75 "Control" 19 7 0 45 15 76 13 0 177 25 3.43 0 0 0.11 0
"29" 103.25 55.75 "Control" 22 2 0 30 7 128 3 0 167 12 0.3 0.57 0 0.55 1.51
"30" 106.25 53.75 "Control" 20 1 0 30 4 109 2 0 160 8 2.24 0.14 0 0 0.35
"31" -153.75 57.25 "Control" 0 0 0 18 0 0 0 0 154 0 7.6 0 0 0.01 0
"32" -144.25 67.25 "Control" 0 1 0 54 0 0 1 0 292 0 1.96 0.05 0 0.08 0.18
"33" -123.25 58.75 "Control" 20 1 0 41 2 97 3 0 170 3 0.47 6.87 0 0.02 2.06
"34" 22.75 67.25 "Control" 28 0 0 26 0 238 2 0 193 3 3.52 0.17 0 0.01 1.51
"35" 25.25 64.25 "Control" 50 0 1 33 6 306 0 1 193 11 5.58 0 0 0 0
"36" 25.75 66.75 "Control" 32 0 0 28 3 168 1 0 185 5 0.57 4.02 0 0.1 0.82
"37" 36.75 63.75 "Control" 30 0 0 22 0 271 0 0 191 4 2.11 0.16 0 0.02 1.18
"38" 37.75 63.75 "Control" 51 0 0 24 2 298 0 0 160 5 5.17 0 0 0.09 2.17
"39" 78.75 57.75 "Control" 25 4 0 35 1 160 6 0 216 3 2.55 0 0 0.02 0.51
"40" 100.25 56.25 "Control" 22 9 0 64 5 138 10 0 287 8 0.03 2.21 0 0.06 0
"41" 108.75 52.75 "Control" 37 1 0 37 22 208 1 0 187 35 3.15 0 0 0 3.26
"42" 143.25 50.75 "Control" 51 0 0 22 0 310 0 0 139 4 0.99 0 0 0.12 0.18
"43" -151.25 61.25 "Control" 67 0 0 19 0 468 0 0 168 0 0.78 0 0 0.31 0.14
"44" -93.25 50.25 "Control" 21 2 0 23 0 174 7 0 224 1 2.29 1.62 0 0.03 0.69
"45" -93.25 53.75 "Control" 18 3 0 28 0 146 4 0 241 0 0 0.01 0 0.35 0.02
